Aliivibrio_salmonicida	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio salmonicida
Aliivibrio_wodanis	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Aliivibrio;s__Aliivibrio wodanis
Allochromatium_vinosum	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria;f__Gammaproteobacteria;g__Allochromatium;s__Allochromatium vinosum
Alteromonas_macleodii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii
Alteromonas_mediterranea	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas mediterranea
Alteromonas_stellipolaris	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas stellipolaris
Bacillus_subtilis	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli;f__Bacilli;g__Bacillus;s__Bacillus subtilis
Bacteroides_fragilis	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidia;f__Bacteroidia;g__Bacteroides;s__Bacteroides fragilis
Candidatus_Endolissoclinum_sp	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Candidatus Endolissoclinum;s__Candidatus Endolissoclinum sp.
Erythrobacter_aurantius	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__Erythrobacter aurantius
Erythrobacter_litoralis	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__Erythrobacter litoralis
Fusobacterium_nucleatum	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriia;f__Fusobacteriia;g__Fusobacterium;s__Fusobacterium nucleatum
Ilumatobacter_coccineus	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter;s__Ilumatobacter coccineus
Ilumatobacter_sp_AH-269-C13	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ilumatobacter;s__Ilumatobacter sp. AH_269_C13
Marinomonas_mediterranea	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonas mediterranea
Marinomonas_posidonica	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonas posidonica
Mycobacterium_tuberculosis	k__Bacteria;p__Actinobacteria;c__Actinomycetes;o__Actinomycetes;f__Actinomycetes;g__Mycobacterium;s__Mycobacterium tuberculosis
Nitrosococcus_oceani	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus oceani
Nitrosococcus_wardiae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus wardiae
Nitrosococcus_watsonii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus watsonii
Palaeococcus_ferrophilus	k__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Palaeococcus;s__Palaeococcus ferrophilus
Psychrobacter_cryohalolentis	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter cryohalolentis
Pyrodictium_occultum	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoprotei;f__Thermoprotei;g__Pyrodictium;s__Pyrodictium occultum
Spiribacter_roseus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Spiribacter;s__Spiribacter roseus
Spiribacter_salinus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Spiribacter;s__Spiribacter salinus
Staphylococcus_aureus	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli;f__Bacilli;g__Staphylococcus;s__Staphylococcus aureus
Sulfurovum_mangrovi	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Epsilonproteobacteria;f__Epsilonproteobacteria;g__Sulfurovum;s__Sulfurovum mangrovi
Thalassolituus_oleivorans	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Thalassolituus;s__Thalassolituus oleivorans
Thermus_thermophilus	k__Bacteria;p__Deinococcus_Thermus;c__Deinococci;o__Deinococci;f__Deinococci;g__Thermus;s__Thermus thermophilus
Vibrio_anguillarum	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio anguillarum
